register_number,fund_short_name,fund_name,strategy_one,strategy_two,strategy_three,is_share_class,has_db_nav,nav_rows,nav_sources,nav_min_date,nav_max_date,matched_nav_code,in_private_fund_info,info_latest_nav_date,info_latest_nav,in_fof99_universe,fof99_policy,fof99_reason,fof99_list_date,fof99_list_nav,last_fetch_date,last_fetch_status,last_ok_date,empty_date_probe
AQA43A,聚宽尊享混合一号A类,聚宽尊享混合一号私募证券投资基金A类份额,股票对冲,,,yes,no,0,,,,,no,,,no,,,,,,,,
ASK11B,嘉策省心享1号B类,嘉策省心享1号私募证券投资基金B类份额,股票多头,,,yes,no,0,,,,,no,,,no,,,,,,,,
BQG55A,青琰捷北二号A类,青琰捷北二号私募证券投资基金A类份额,股票多头,2000指增,量价,yes,no,0,,,,,no,,,no,,,,,,,,
BQQ34C,九木CTA进取2号C类,九木CTA进取2号私募证券投资基金C类份额,期货策略,量化期货,"时序,量价",yes,no,0,,,,,no,,,no,,,,,,,,
JW383B,鸣石金选12B号B类,鸣石金选12B号私募证券投资基金B类份额,期货策略,量化期货,,yes,no,0,,,,,no,,,no,,,,,,,,
QK677B,会世私享CTA1号B类,会世私享CTA1号私募证券投资基金B类份额,期货策略,量化期货,时序,yes,no,0,,,,,no,,,no,,,,,,,,
SAEQ59,米纳多空对冲1号,米纳多空对冲1号私募证券投资基金,股票对冲,股票市场中性,基本面,no,no,0,,,,,yes,,,no,,,,,,,,
SAET78,昭融行稳3号,昭融行稳3号私募证券投资基金,套利策略,期货套利,跨市场套利,no,no,0,,,,,yes,,,no,,,,,,,,
SAHT59,倍漾金选中证1000指数增强1号,倍漾金选中证1000指数增强1号私募证券投资基金,股票多头,1000指增,,no,no,0,,,,,yes,,,no,,,,,,,,
SAJQ43,千衍九凌2号,千衍九凌2号私募证券投资基金,期货策略,量化期货,,no,no,0,,,,,yes,,,no,,,,,,,,
SALW43,鸣石省心享兴泰锐进1号量化,鸣石省心享兴泰锐进1号量化私募证券投资基金,股票多头,1000指增,,no,no,0,,,,,yes,,,no,,,,,,,,
SAMD17,国泰君安私客尊享FOF3688号,国泰君安私客尊享FOF3688号单一资产管理计划,组合策略,FOF,,no,no,0,,,,,no,,,no,,,,,,,,
SANH26,量道明达2号,量道明达2号私募证券投资基金,股票对冲,股票市场中性,,no,no,0,,,,,yes,,,no,,,,,,,,
SAPB65,宸蹊开阳1号,宸蹊开阳1号私募证券投资基金,债券策略,利率债,,no,no,0,,,,,yes,,,no,,,,,,,,
SAQC28,千衍九凌7号,千衍九凌7号私募证券投资基金,期货策略,量化期货,,no,no,0,,,,,yes,,,no,,,,,,,,
SARA51,东海基金-联心传承1号FOF,东海基金-联心传承1号FOF集合资产管理计划,组合策略,FOF,,no,no,0,,,,,no,,,no,,,,,,,,
SATJ37,金岭西湖逸云,金岭西湖逸云私募证券投资基金,套利策略,基金套利,ETF套利,no,no,0,,,,,yes,,,no,,,,,,,,
SAUB76,东海基金-联心传承3号FOF,东海基金-联心传承3号FOF单一资产管理计划,组合策略,,,no,no,0,,,,,no,,,no,,,,,,,,
SAUC43,顽岩中证2000指数增强2号,顽岩中证2000指数增强2号私募证券投资基金,股票多头,2000指增,,no,no,0,,,,,yes,,,no,,,,,,,,
SAVG97,倍致之江朔望,倍致之江朔望私募证券投资基金,多资产策略,宏观策略,,no,no,0,,,,,yes,,,no,,,,,,,,
SAVG98,倍致天洋1号,倍致天洋1号私募证券投资基金,多资产策略,宏观策略,,no,no,0,,,,,yes,,,no,,,,,,,,
SAWZ89,兰盈阿尔法组合2号,兰盈阿尔法组合2号私募证券投资基金,期权策略,场内期权,,no,no,0,,,,,yes,,,no,,,,,,,,
SAXA45,无涯中证500指数增强2号,无涯中证500指数增强2号私募证券投资基金,股票多头,500指增,,no,no,0,,,,,yes,,,no,,,,,,,,
SAXU52,亿莱祥泰盈稳健一号,亿莱祥泰盈稳健一号私募证券投资基金,套利策略,期货套利,"商品套利,跨市场套利",no,no,0,,,,,yes,,,no,,,,,,,,
SAXW28,长鲸乘风1号,长鲸乘风1号私募证券投资基金,套利策略,期货套利,商品套利,no,no,0,,,,,yes,,,no,,,,,,,,
SAYM52,榕树海有容6号,榕树海有容6号私募证券投资基金,股票对冲,股票多空,"场内券,量化",no,no,0,,,,,yes,,,no,,,,,,,,
SAYU51,无涯中证1000指数增强2号,无涯中证1000指数增强2号私募证券投资基金,股票多头,1000指增,,no,no,0,,,,,yes,,,no,,,,,,,,
SAYY72,前海久盈通晓八号,前海久盈通晓八号私募证券投资基金,套利策略,期货套利,股指套利,no,no,0,,,,,yes,,,no,,,,,,,,
SB9144,华闻期货华睿稳健FOF一号,华闻期货华睿稳健FOF一号集合资产管理计划,组合策略,FOF,,no,no,0,,,,,yes,,,no,,,,,,,,
SBBA96,龙旗灵动1号,龙旗灵动1号私募证券投资基金,股票对冲,择时对冲,,no,no,0,,,,,yes,,,no,,,,,,,,
SBCJ63,太衍中子星1号,太衍中子星1号私募证券投资基金,股票对冲,股票市场中性,,no,no,0,,,,,yes,,,no,,,,,,,,
SBDM78,孝庸魔方汇股票优选六号,孝庸魔方汇股票优选六号私募证券投资基金,股票多头,,,no,no,0,,,,,yes,,,no,,,,,,,,
SBEJ21,钜融广益1号,钜融广益1号私募证券投资基金,股票多头,,,no,no,0,,,,,yes,,,no,,,,,,,,
SBJL43,太衍光年北证指数增强1号,太衍光年北证指数增强1号私募证券投资基金,股票多头,风格指增,,no,no,0,,,,,yes,,,no,,,,,,,,
SBQQ34,九木CTA进取2号,九木CTA进取2号私募证券投资基金,期货策略,量化期货,"时序,量价",no,no,0,,,,,yes,,,no,,,,,,,,
SBRF17,禾悦暖阳中性1号,禾悦暖阳中性1号私募证券投资基金,股票对冲,,,no,no,0,,,,,no,,,no,,,,,,,,
SBUL69,芬德-环翼优选6号,芬德-环翼优选6号私募证券投资基金,套利策略,期货套利,,no,no,0,,,,,yes,,,no,,,,,,,,
SD8500,中信信托高毅晓峰尊享A期投资,中信信托高毅晓峰尊享A期投资集合资金信托计划,股票多头,主观多头,,no,no,0,,,,,yes,,,no,,,,,,,,
SE631A,展弘量化精选1号A类,展弘量化精选1号私募证券投资基金A类份额,套利策略,期货套利,,yes,no,0,,,,,no,,,no,,,,,,,,
SGB983,国投瑞银践昇,国投瑞银践昇单一资产管理计划,股票多头,,,no,no,0,,,,,no,,,no,,,,,,,,
SGL308,联海星辰3号,联海星辰3号私募证券投资基金,股票对冲,股票市场中性,,no,no,0,,,,,yes,,,no,,,,,,,,
SJQ809,众壹资产进取套利二号,众壹资产进取套利二号私募证券投资基金,期货策略,主观期货,,no,no,0,,,,,yes,,,no,,,,,,,,
SLL345,鸣石量化24号,鸣石量化24号私募证券投资基金,期货策略,量化期货,股指,no,no,0,,,,,yes,,,no,,,,,,,,
SLP883,辰钰炎丰1号,辰钰炎丰1号私募证券投资基金,套利策略,期货套利,,no,no,0,,,,,no,,,no,,,,,,,,
SNW148,明崚明和1号,明崚明和1号私募证券投资基金,多资产策略,复合策略,,no,no,0,,,,,no,,,no,,,,,,,,
SQD904,嘉鸿璞真5号,嘉鸿璞真5号私募证券投资基金,股票对冲,择时对冲,打板,no,no,0,,,,,yes,,,no,,,,,,,,
SQH719,燧石星云15号,燧石星云15号私募证券投资基金,期货策略,量化期货,时序,no,no,0,,,,,yes,,,no,,,,,,,,
SQL637,唐融宏观5号,唐融宏观5号私募证券投资基金,多资产策略,宏观策略,,no,no,0,,,,,yes,,,no,,,,,,,,
SQM637,宥熙飒露紫量化1号,宥熙飒露紫量化1号私募证券投资基金,期货策略,量化期货,时序,no,no,0,,,,,yes,,,no,,,,,,,,
STM124,泰铼广泰中证500指数增强1号,泰铼广泰中证500指数增强1号私募证券投资基金,股票多头,500指增,,no,no,0,,,,,yes,,,no,,,,,,,,
STX801,华闻期货华睿稳盛FOF一号,华闻期货华睿稳盛FOF一号单一资产管理计划,组合策略,FOF,,no,no,0,,,,,no,,,no,,,,,,,,
SVA677,鸿熵量子跃迁1号,鸿熵量子跃迁1号私募证券投资基金,套利策略,可转债套利,,no,no,0,,,,,yes,,,no,,,,,,,,
SX8920,长石智丰3号,长石智丰3号私募证券投资基金,期权策略,场内期权,,no,no,0,,,,,yes,,,no,,,,,,,,
SXH991,宝荟君悦19号,宝荟君悦19号私募证券投资基金,股票多头,主观多头,,no,no,0,,,,,yes,,,no,,,,,,,,
SZK717,铭跃量选惜亩1号,铭跃量选惜亩1号私募证券投资基金,股票多头,量化选股,,no,no,0,,,,,yes,,,no,,,,,,,,
SZN726,睿量智行2号,睿量智行2号私募证券投资基金,股票多头,1000指增,,no,no,0,,,,,yes,,,no,,,,,,,,
SZX828,千衍六和11号,千衍六和11号私募证券投资基金,股票多头,500指增,,no,no,0,,,,,yes,,,no,,,,,,,,
SZZ239,东海基金-鑫龙311号,东海基金-鑫龙311号集合资产管理计划,债券策略,债券复合,,no,no,0,,,,,no,,,no,,,,,,,,
X4966B,量锐18号B类,量锐18号私募基金B类份额,股票对冲,股票市场中性,"低频,中频,量价",yes,no,0,,,,,no,,,no,,,,,,,,
ZXD202503130000012655,建元启航星5号年年享,建元启航星5号年年享集合资金信托计划,债券策略,信用债,城投债,no,no,0,,,,,no,,,no,,,,,,,,
ZXD202508050000002119,陆家嘴信托-瑞盈兴享A500指数增强1号,陆家嘴信托-瑞盈兴享A500指数增强1号集合资金信托计划,股票多头,A500指增,,no,no,0,,,,,no,,,no,,,,,,,,
ZXD202508080000006069,中原信托-宏利92期-财通稳衡1号,中原信托-宏利92期-财通稳衡1号集合资金信托计划,多资产策略,复合策略,,no,no,0,,,,,no,,,no,,,,,,,,
ZXD32A202407010039702,建元启航星2号丰盈,建元启航星2号丰盈集合资金信托计划,债券策略,信用债,城投债,no,no,0,,,,,no,,,no,,,,,,,,
