fund_short_name,fund_name,register_number,price_type,tag,strategy
江煦红运一号,江煦红运一号私募证券投资基金,SBRA04,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
彤心雕珑维纳一号,彤心雕珑维纳一号私募证券投资基金,SB8958,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
大树-安心盈扬帆8号B类,大树-安心盈扬帆8号私募证券投资基金B类份额,GW702B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '股指'}}"
迎水元宝11号B类,迎水元宝11号私募证券投资基金B类份额,TV497B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '择时对冲', 'strategy_three': '打板'}}"
迎水元宝12号B类,迎水元宝12号私募证券投资基金B类份额,TV501B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '择时对冲', 'strategy_three': '打板'}}"
谷启万利2号B类,谷启万利2号私募期货投资基金B类份额,SC336B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': '能化'}}"
嘉鸿璞真1号A类,嘉鸿璞真1号私募证券投资基金A类份额,NY759A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '择时对冲', 'strategy_three': '打板'}}"
嘉鸿精选6号A类,嘉鸿精选6号私募证券投资基金A类份额,AKS59A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '择时对冲', 'strategy_three': '打板'}}"
贞元虎踞一号B类,贞元虎踞一号私募证券投资基金B类份额,BUK40B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '择时对冲', 'strategy_three': '打板'}}"
远和可安1号B类,远和可安1号私募证券投资基金B类份额,AWW89B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': '中频'}}"
铭跃量选50A类,铭跃量选50私募证券投资基金A类份额,AQJ54A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '量化选股', 'strategy_three': ''}}"
安远安心三期B类,安远安心三期私募证券投资基金B类份额,BQU52B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
安远安心三期A类,安远安心三期私募证券投资基金A类份额,BQU52A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
红锚价值5号,红锚价值5号私募证券投资基金,SZL121,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '多资产策略', 'strategy_two': '复合策略', 'strategy_three': ''}}"
致邃投资-智慧矩阵量化8号,致邃投资-智慧矩阵量化8号私募证券投资基金,SAAD44,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': '底仓T0'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': '底仓T0'}}"
致邃投资-致信一号,致邃投资-致信一号私募证券投资基金,SBAU57,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': '底仓T0'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': '底仓T0'}}"
致邃投资-雪香金懿对冲量化12号,致邃投资-雪香金懿对冲量化12号私募证券投资基金,SQT815,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': '底仓T0'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': '底仓T0'}}"
致邃金品中国,致邃金品中国私募证券投资基金,SAYL58,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': '底仓T0'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': '底仓T0'}}"
子午中性十六号,子午中性十六号私募证券投资基金,SZS966,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': ''}}"
正合中证2000指增1号C类,正合中证2000指增1号私募证券投资基金C类份额,BRY00C,2,{'company': None},"{'company': {'strategy_one': '股票多头', 'strategy_two': '指数增强', 'strategy_three': '2000指增'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '2000指增', 'strategy_three': ''}}"
坤望隆盛专享1号,坤望隆盛专享1号私募证券投资基金,SAPM41,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '多资产策略', 'strategy_two': '复合策略', 'strategy_three': ''}}"
添禄投资添增2000二号C类,添禄投资添增2000二号私募证券投资基金C类份额,AAK83C,2,{'company': None},"{'company': {'strategy_one': '股票多头', 'strategy_two': '指数增强', 'strategy_three': '空气指增,量价,高频'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '2000指增', 'strategy_three': ''}}"
中欧盛世小盘量选1号,中欧盛世小盘量选1号集合资产管理计划,SBWE49,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '多资产策略', 'strategy_two': '复合策略', 'strategy_three': ''}}"
中欧盛世核心资产备兑增强1号,中欧盛世核心资产备兑增强1号集合资产管理计划,SAVW37,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': ''}}"
中欧盛世均衡对冲1号,中欧盛世均衡对冲1号集合资产管理计划,SBMG82,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '', 'strategy_three': ''}}"
华耀CTA一号,华耀CTA一号私募证券投资基金,SBHJ56,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '', 'strategy_three': ''}}"
中欧盛世中证1000指数增强1号,中欧盛世中证1000指数增强1号集合资产管理计划,SBGF84,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '1000指增', 'strategy_three': ''}}"
坤望专享6号,坤望专享6号私募证券投资基金,SZE008,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': ''}}"
乾象股票对冲3号,乾象股票对冲3号私募证券投资基金,SQF770,2,{'company': ['中波']},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': '500中性,中频'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': '中频,量价,500中性'}}"
天算顺势1号,天算顺势1号私募基金,SX6549,2,{'company': ['中波']},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': '500中性,中频'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': '中频,500中性'}}"
锐泽长风1号A类,锐泽长风1号私募证券投资基金A类份额,ACK14A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票多空', 'strategy_three': ''}}"
正合中证2000指增1号,正合中证2000指增1号私募证券投资基金,SBRY00,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '2000指增', 'strategy_three': ''}}"
中资鑫融复合策略1号,中资鑫融复合策略1号私募证券投资基金,SB4581,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '多资产策略', 'strategy_two': '复合策略', 'strategy_three': ''}}"
君和九思君怡1号,君和九思君怡1号私募证券投资基金,SBNB10,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '套利策略', 'strategy_two': '', 'strategy_three': ''}}"
旭辉创值系列,旭辉创值系列私募证券投资基金,STY181,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '主观多头', 'strategy_three': ''}}"
旭诺聚星CTA2号A类,旭诺聚星CTA2号私募证券投资基金A类份额,ASQ49A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '', 'strategy_three': ''}}"
众量多元化CTA1号C类,众量多元化CTA1号私募证券投资基金C类份额,AUR63C,2,{'company': None},"{'company': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '时序'}}"
锐泽长风1号,锐泽长风1号私募证券投资基金,SACK14,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票多空', 'strategy_three': ''}}"
领容炽航泓途C类,领容炽航泓途私募证券投资基金C类份额,AXA95C,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '主观期货', 'strategy_three': '交易型'}}"
宽渡安如1号,宽渡安如1号私募证券投资基金,SAGB28,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
白鹭权优1号B类,白鹭权优1号私募证券投资基金B类份额,VC309B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期权策略', 'strategy_two': '场内期权', 'strategy_three': '期权多策略'}}"
中邮证券鸿昇精选FOF6号,中邮证券鸿昇精选FOF6号集合资产管理计划,SBVH97,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
华能信托·新征1号,华能信托·新征1号集合资金信托计划,ZXD202603230000005822,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '多资产策略', 'strategy_two': '复合策略', 'strategy_three': ''}}"
星阔星汉1号全气候量化宏观配置,星阔星汉1号全气候量化宏观配置私募证券投资基金,SSZ798,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '多资产策略', 'strategy_two': '宏观策略', 'strategy_three': ''}}"
贞元虎踞一号A类,贞元虎踞一号私募证券投资基金A类份额,BUK40A,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '打板', 'strategy_three': '盘中板'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '择时对冲', 'strategy_three': '打板'}}"
星阔自由现金流增强1号,星阔自由现金流增强1号私募证券投资基金,SQN154,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '风格指增', 'strategy_three': ''}}"
星阔南山1号红利低波100指数增强,星阔南山1号红利低波100指数增强私募证券投资基金,STT871,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '红利指增', 'strategy_three': ''}}"
星阔海鹏一号,星阔海鹏一号私募证券投资基金,SSU092,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': ''}}"
星阔山金江月1号,星阔山金江月1号私募证券投资基金,SQY943,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': ''}}"
贞元虎踞一号,贞元虎踞一号私募证券投资基金,SBUK40,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '择时对冲', 'strategy_three': '打板'}}"
璞真观星1号B类,璞真观星1号私募证券投资基金B类份额,TA309B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '主观多头', 'strategy_three': ''}}"
传定追光者1号B类,传定追光者1号私募证券投资基金B类份额,BBJ21B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
宽辅专享2号A类,宽辅专享2号私募证券投资基金A类份额,ADD57A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '量化选股', 'strategy_three': ''}}"
量道瑞风量化多策略1号A类,量道瑞风量化多策略1号私募证券投资基金A类份额,LK113A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '多资产策略', 'strategy_two': '复合策略', 'strategy_three': ''}}"
大风远恒安宁A类,大风远恒安宁私募证券投资基金A类份额,BVH72A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
亿嘉柏和中证1000指增一号,亿嘉柏和中证1000指增一号私募证券投资基金,SBEP28,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '1000指增', 'strategy_three': ''}}"
甲乙甲CTA精进一号,甲乙甲CTA精进一号私募证券投资基金,SZC839,2,{'company': None},"{'company': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '混合'}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '混合均衡'}}"
立心学院菁英增强3号,立心学院菁英增强3号私募证券投资基金,SARG03,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '主观多头', 'strategy_three': '均衡型,行业主题型,交易型'}}"
秉昊-嘉越稳健1号,秉昊-嘉越稳健1号私募证券投资基金,SZT221,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
磐松红利指数增强进取1号,磐松红利指数增强进取1号私募证券投资基金,SB5668,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '红利指增', 'strategy_three': ''}}"
高远启成1号A类,高远启成1号私募证券投资基金A类份额,BLU88A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
香农大利一号A类,香农大利一号私募证券投资基金A类份额,BTL72A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '', 'strategy_three': ''}}"
富杰中性多空5号C类,富杰中性多空5号私募证券投资基金C类份额,BUP27C,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '', 'strategy_three': ''}}"
黑帆大海三号A类,黑帆大海三号私募证券投资基金A类份额,JT655A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票T0', 'strategy_three': '手工T0'}}"
诚奇睿盈对冲2号A类,诚奇睿盈对冲2号私募证券投资基金A类份额,QH717A,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': '中频'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '股票市场中性', 'strategy_three': ''}}"
昱阳鸣翠5号,昱阳鸣翠5号私募证券投资基金,SAXY65,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
湘财证券信同FOF1号,湘财证券信同FOF1号单一资产管理计划,SAEP82,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': '', 'strategy_three': ''}}"
湘财证券金福12号FOF,湘财证券金福12号FOF集合资产管理计划,SBSY99,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
建元启航星5号年年享,建元启航星5号年年享集合资金信托计划,ZXD202503130000012655,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '债券策略', 'strategy_two': '信用债', 'strategy_three': '城投债'}}"
建元启航星2号丰盈,建元启航星2号丰盈集合资金信托计划,ZXD32A202407010039702,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '债券策略', 'strategy_two': '信用债', 'strategy_three': '城投债'}}"
富华君怡专享,富华君怡专享私募证券投资基金,SBLS77,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
岱熹涵泰一号,岱熹涵泰一号私募证券投资基金,SAVD06,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '主观多头', 'strategy_three': ''}}"
太衍自旋2号,太衍自旋2号私募证券投资基金,SBCJ59,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
君跃飞扬鲲鹏,君跃飞扬鲲鹏私募证券投资基金,SBNR74,2,{'company': None},"{'company': {'strategy_one': '股票对冲', 'strategy_two': '打板', 'strategy_three': '强势股'}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '择时对冲', 'strategy_three': '强势股'}}"
立心学院菁英增强17号,立心学院菁英增强17号私募证券投资基金,SBSS95,2,{'company': None},"{'company': {'strategy_one': '股票多头', 'strategy_two': '主观多头', 'strategy_three': '交易型'}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '主观多头', 'strategy_three': '交易型'}}"
山海天华1号B类,山海天华1号私募证券投资基金B类份额,AWQ76B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '套利策略', 'strategy_two': '', 'strategy_three': ''}}"
陆家嘴信托-广发骐骥广泽稳进FOF603号,陆家嘴信托-广发骐骥广泽稳进FOF603号集合资金信托计划,ZXD202512090000001238,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
陆家嘴信托-广发骐骥广泽稳进FOF605号,陆家嘴信托-广发骐骥广泽稳进FOF605号集合资金信托计划,ZXD202603110000005933,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
华安财保资管鸣远27号,华安财保资管鸣远27号资产管理产品,ZH2026030133,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '', 'strategy_three': ''}}"
富华稳健行远1号B类,富华稳健行远1号私募证券投资基金B类份额,BDY58B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '', 'strategy_three': ''}}"
和美水豚灵活对冲5号A类,和美水豚灵活对冲5号私募证券投资基金A类份额,BTS55A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票对冲', 'strategy_two': '', 'strategy_three': ''}}"
添禄投资添选一号C类,添禄投资添选一号私募证券投资基金C类份额,BNC45C,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '2000指增', 'strategy_three': ''}}"
会世元驰1号A类,会世元驰1号私募证券投资基金A类份额,NC791A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '多资产策略', 'strategy_two': '复合策略', 'strategy_three': ''}}"
翰荣狮子量化精选9号A类,翰荣狮子量化精选9号私募证券投资基金A类份额,BBC65A,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '量化选股', 'strategy_three': ''}}"
翰荣狮子量化精选9号C类,翰荣狮子量化精选9号私募证券投资基金C类份额,BBC65C,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '量化选股', 'strategy_three': ''}}"
澎湃双十蓝筹择时量选1号,澎湃双十蓝筹择时量选1号私募证券投资基金,SBPL74,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '量化选股', 'strategy_three': ''}}"
外贸信托-点睛严选8号,外贸信托-点睛严选8号财富管理信托,ZXD202506260000001326,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '组合策略', 'strategy_two': 'FOF', 'strategy_three': ''}}"
英旷专享2号B类,英旷专享2号私募证券投资基金B类份额,AKV28B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '套利策略', 'strategy_two': '可转债套利', 'strategy_three': ''}}"
锐泽若水1号B类,锐泽若水1号私募证券投资基金B类份额,ACF37B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '套利策略', 'strategy_two': '基金套利', 'strategy_three': 'ETF套利'}}"
准星量化对冲一号B类,准星量化对冲一号私募证券投资基金B类份额,BME10B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '股票多头', 'strategy_two': '1000指增', 'strategy_three': ''}}"
英旷专享3号B类,英旷专享3号私募证券投资基金B类份额,TQ844B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '套利策略', 'strategy_two': '可转债套利', 'strategy_three': '融券对冲'}}"
量派CTA七号B类,量派CTA七号私募证券投资基金B类份额,ZC678B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '期货策略', 'strategy_two': '量化期货', 'strategy_three': '混合均衡'}}"
量创全天候元语1号B类,量创全天候元语1号私募证券投资基金B类份额,XL919B,2,{'company': None},"{'company': {'strategy_one': '', 'strategy_two': '', 'strategy_three': ''}, 'platform': {'strategy_one': '多资产策略', 'strategy_two': '复合策略', 'strategy_three': ''}}"
