seq,product_name,manager,team_latest_nav,team_latest_nav_date,team_l1,team_l2,team_l3,match_method,in_outside_excel,beian_hao,db_product_name,in_database,has_nav,db_latest_nav,db_latest_nav_date,vendor_nav_points,email_nav_points,in_fof99_universe,fof99_tracking_status,fof99_policy,fof99_reason,name_code_count,missing_reason
119,平安信托平安30CTA精选1号FOF,平安信托,1.0089,2026-08-25,期货策略,量化期货,混合,db_exact_name,N,ZXD202511270000000195,平安信托平安30CTA精选1号FOF集合资金信托计划,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
145,倍致之江朔望,杭州倍致,-,-,多资产策略,宏观策略,量化,db_exact_name,N,SAVG97,倍致之江朔望私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
151,倍致天洋1号,杭州倍致,1.0314,2026-09-04,多资产策略,宏观策略,量化,outside_exact_name,Y,SAVG98,倍致天洋1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
155,量道量化择时1号A类,深圳量道投资,0.9301,2026-09-11,股票多头,指数增强,"1000指增,中频,量价",unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
160,中铖润智CTA套利1号,上海中铖润智资管,1.7320,2026-03-06,套利策略,期货套利,跨期套利,outside_exact_name,Y,SSP244,中铖润智CTA套利1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
170,兰盈阿尔法组合1号,上海兰盈量投,-,-,期权策略,场内期权,商品波动率,db_exact_name,N,SAWK49,兰盈阿尔法组合1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
193,德邦资管星瑞2号,德邦证券资管,0.9410,2026-09-11,债券策略,REITs,-,db_exact_name,N,SAYV47,德邦资管星瑞2号集合资产管理计划,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
211,汉弩金石6号,青岛汉弩,1.5040,2026-05-08,套利策略,ETF套利,"手工,申赎套利",outside_exact_name,Y,STQ907,汉弩金石6号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
230,信弘CTA1号量化,北京信弘天禾投资,1.7482,2026-08-21,期货策略,量化期货,混合,db_exact_name,N,SQQ852,信弘CTA1号量化私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
256,双隆-隆盛1号,上海双隆投资,2.2040,2024-07-26,期权策略,场内期权,商品波动率,outside_exact_name,Y,S86255,双隆-隆盛1号私募基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
259,六妙星彩云归低波,北京六妙星,-,-,期权策略,场内期权,商品波动率,db_exact_name,N,SATY93,六妙星彩云归低波私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
292,益清证金FOF一号,深圳证金投资,-,-,股票多头,指数增强,"1000指增,中频",db_exact_name,N,SZR192,益清证金FOF一号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
296,无隅磐石三号,北京无隅资产,1.2508,2024-07-19,股票多头,指数增强,"1000指增,高频",db_exact_name,N,SGY228,无隅磐石三号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
309,贝得中证A500指数增强1号,珠海贝得,1.5065,2026-09-04,股票多头,指数增强,"500指增,量价,中频",db_exact_name,N,SZV189,贝得中证A500指数增强1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
316,牟合君享指数增强2号,北京牟合资管,0.8249,2024-07-19,股票多头,指数增强,"500指增,中频,量价",db_exact_name,N,SGU492,牟合君享指数增强2号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
318,玄信星选2000指数增强1号,上海玄信投资,-,-,股票多头,指数增强,"500指增,量价,中频",db_exact_name,N,SGL665,玄信星选2000指数增强1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
323,信弘中证500指数增强1号,北京信弘天禾投资,-,-,股票多头,指数增强,500指增,db_exact_name,N,SNB798,信弘中证500指数增强1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
326,因诺中证500指数增强2号,上海因诺资管,2.3150,2024-07-19,股票多头,指数增强,"500指增,中频,量价",db_exact_name,N,SGV127,因诺中证500指数增强2号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
330,东恺多策略精选一号A类,上海东恺投资,1.3280,2026-09-11,股票多头,指数增强,"500指增,基本面",unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
333,量客卓宇八号,上海量客,0.9860,2023-09-28,股票多头,指数增强,"500指增,基本面",db_exact_name,N,SSD575,量客卓宇八号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
334,久期量和指数6号,上海久期量和投资,0.9630,2024-07-12,股票多头,指数增强,"500指增,基本面",db_exact_name,N,SLA517,久期量和指数6号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
338,新时代共赢浦江汇赢2号中证1000指数增强,海南时代共赢,0.9100,2026-09-11,股票多头,指数增强,"1000指增,中频,量价",unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
355,毅润混合精选2号,晋江毅润,0.8300,2024-03-15,股票多头,指数增强,空气指增,db_exact_name,N,SSZ208,毅润混合精选2号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
359,星阔山海1号股票优选,青岛星阔投资,-,-,股票多头,指数增强,空气指增,db_exact_name,N,SSE293,星阔山海1号股票优选私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
360,九坤股票量化优选2号,北京九坤投资,-,-,股票多头,指数增强,空气指增,db_exact_name,N,SNS349,九坤股票量化优选2号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
374,量魁湘水麓山五号,上海量魁,1.3647,2026-01-23,股票对冲,股票市场中性,多策略,db_exact_name,N,SJZ112,量魁湘水麓山五号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
403,新时代共赢安胜达1号量选,海南时代共赢,0.9435,2026-09-11,股票多头,另类多头,择时择股,unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
407,靖奇基石5号B类,上海靖奇投资,3.0260,2025-10-31,股票多头,另类多头,择时择股,db_exact_name,N,SD730B,靖奇基石5号私募证券投资基金B类份额,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
413,启元通盛2号,温州启元资管,-,-,股票多头,另类多头,择时择股,db_exact_name,N,SVT051,启元通盛2号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
415,旷惟旷视惟明二号,海南旷惟,0.8920,2024-07-19,股票多头,另类多头,"择时择股,持仓分散",db_exact_name,N,STS954,旷惟旷视惟明二号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
416,靖奇天弓一号,上海靖奇投资,0.7650,2024-07-19,股票多头,另类多头,"择时择股,持仓分散",db_exact_name,N,SJZ470,靖奇天弓一号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
417,恒泰融安乾睿量化1号,深圳恒泰融安投资,1.0269,2024-07-26,股票多头,另类多头,"择时择股,持仓分散",db_exact_name,N,STU800,恒泰融安乾睿量化1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
423,外贸信托-盈峰金选转债1号,-,-,-,股票多头,可转债多头,-,db_exact_name,N,SADC23,外贸信托-盈峰金选转债1号集合资金信托计划,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
425,高山彩云1号,江苏高山,1.0419,2024-06-28,股票多头,可转债多头,-,db_exact_name,N,SXN160,高山彩云1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
427,银岳明新量化1号,上海银岳投资,1.1140,2024-07-19,股票多头,可转债多头,量化,db_exact_name,N,STM303,银岳明新量化1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
433,易持远见一号,厦门易持,1.0219,2023-10-27,股票对冲,打板,-,db_exact_name,N,SZQ609,易持远见一号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
440,高益启程一号,深圳高益,-,-,股票对冲,打板,-,db_exact_name,N,SQX106,高益启程一号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
460,上海斯诺波铁券一号,上海斯诺波投资,3.2434,2026-09-11,股票多头,主观多头,"价值均衡,民间派,港股",unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
465,国海良时金时6号,国海良时期货,1.5540,2026-09-11,多资产策略,宏观策略,量化,db_exact_name,N,SADC63,国海良时金时6号集合资产管理计划,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
466,若水明道量化CTA1号,南京若水明道,1.1531,2024-07-19,期货策略,量化期货,混合,outside_exact_name,Y,STZ755,若水明道量化CTA1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
472,泓熙润昇成长1号,上海泓瑞,1.3013,2025-08-15,期货策略,主观期货,多板块,db_exact_name,N,SAPN29,泓熙润昇成长1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
474,三商资产熙和尊享二号,上海三商资管,0.9990,2024-07-25,套利策略,期货套利,高频套利,db_exact_name,N,SVV457,三商资产熙和尊享二号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
523,笃熙禀泰安盈长裕5号,上海笃熙禀泰,1.4192,2026-04-24,股票对冲,打板,"盘中板,强势股",unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
525,中盈蓝景鑫锋2号,深圳中盈蓝景基金,1.0428,2025-12-19,期货策略,主观期货,有色,outside_exact_name,Y,SAQE08,中盈蓝景鑫锋2号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
541,和桂先胜,上海和桂,1.7760,2026-09-11,股票多头,可转债多头,-,db_prefix_name,N,STT633,和桂先胜11号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
550,昭融行稳3号,武汉昭融汇利,-,-,套利策略,期货套利,跨市场套利,db_exact_name,N,SAET78,昭融行稳3号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
566,昭融行稳1号,武汉昭融汇利,1.0259,2025-02-28,套利策略,期货套利,跨市场套利,outside_exact_name,Y,SACZ76,昭融行稳1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
576,汉鸿远航1号,上海汉鸿,1.1728,2026-09-11,股票多头,指数增强,1000指增,unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
611,外贸信托-勤辰创赢成长1号1期,-,2.1614,2026-08-28,股票多头,主观多头,"价值成长,交易型",db_exact_name,N,STY084,外贸信托-勤辰创赢成长1号1期集合资金信托计划,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
612,垦禾可转债进取,北京垦禾,1.5684,2026-09-11,股票多头,可转债多头,主观,unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
616,智领梓麒指数增强2号,福州智领三联,1.4280,2026-03-20,股票对冲,打板,盘前板,db_exact_name,N,SQE057,智领梓麒指数增强2号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
645,平安信托九坤CTA优选1号,平安信托,0.9774,2026-08-21,期货策略,量化期货,大厂,db_exact_name,N,ZXD31P202012010001064,平安信托九坤CTA优选1号集合资金信托计划,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
659,中信信托高毅晓峰尊享A期投资,-,3.6798,2026-09-04,股票多头,主观多头,"价值均衡,机构派,大盘",db_exact_name,N,SD8500,中信信托高毅晓峰尊享A期投资集合资金信托计划,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
666,今芯正通,海南今芯,1.3443,2025-12-19,期货策略,主观期货,交易型,outside_exact_name,Y,SAQE15,今芯正通私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
669,立心学院菁英353号,青岛立心,0.9177,2026-09-11,股票多头,主观多头,交易型,unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
688,璟恒岁寒知松柏1号A类,南京璟恒投资,4.1445,2026-09-11,股票多头,主观多头,"中盘,民间派,港股,价值成长",unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
691,布谷象渡二号,深圳布谷资管,1.1420,2025-12-05,期货策略,量化期货,股指,outside_exact_name,Y,SZC483,布谷象渡二号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
708,姚泾河鲁班一号,上海姚泾河,4.4196,2026-01-09,股票多头,主观多头,交易型,db_exact_name,N,SGU015,姚泾河鲁班一号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
733,日斗九凤朝阳,深圳日斗投资,1.2095,2025-12-19,股票多头,主观多头,价值均衡,db_exact_name,N,SZX204,日斗九凤朝阳私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
737,大椿长风破浪三号,海南大椿,1.0752,2025-06-03,股票多头,主观多头,交易型,db_exact_name,N,SZV110,大椿长风破浪三号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
757,金和晟明心宏观对冲1号,上海金和晟,1.0882,2026-09-11,多资产策略,宏观策略,"量化,海外",unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
763,东海龙王一号,上海量魁,2.7720,2026-03-27,期货策略,量化期货,混合,outside_exact_name,Y,SEA420,东海龙王一号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
804,七禾常青科技一号,杭州七禾新资管,1.1725,2024-07-19,期货策略,量化期货,"机器学习,中高频",outside_exact_name,Y,SZP356,七禾常青科技一号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
805,七禾科技传奇壹号,杭州七禾聚资管,1.1735,2025-05-09,期货策略,量化期货,中高频,outside_exact_name,Y,SJU388,七禾科技传奇壹号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
845,鸣石量化24号,上海鸣石,-,-,期货策略,量化期货,股指,db_exact_name,N,SLL345,鸣石量化24号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
876,瓴仁智信一期H1号,上海瓴仁,1.0394,2025-03-31,股票多头,主观多头,价值均衡,db_exact_name,N,SQG065,瓴仁智信一期私募证券投资基金H1号,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
879,外贸信托-淡水泉专项6期泰九1期,北京淡水泉投资,2.0062,2026-07-17,股票多头,主观多头,"大盘,价值成长",unmatched,N,,,N,N,,,0,0,N,not_in_universe,,,0,未能匹配备案号
884,米纳多空对冲1号,珠海米纳,1.0315,2024-07-19,股票对冲,股票市场中性,基本面,db_exact_name,N,SAEQ59,米纳多空对冲1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
888,璟恒岁寒知松柏1号,南京璟恒投资,4.7183,2026-09-10,股票多头,主观多头,"其他,港股,中盘,民间派",db_prefix_name,N,SBGQ02,璟恒岁寒知松柏1号子基金C私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
904,半鞅量化多空1号,半鞅私募,-,-,股票对冲,股票多空,-,db_exact_name,N,SABG12,半鞅量化多空1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
919,熙盛睿秀1号,上海熙盛明诚,1.0043,2026-01-30,套利策略,可转债套利,期权对冲,outside_exact_name,Y,SAGU23,熙盛睿秀1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
951,弘源觉醒1号,深圳弘源泰平资管,1.1363,2026-01-30,套利策略,期货套利,"商品套利,跨品种套利",outside_exact_name,Y,SVX516,弘源觉醒1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
957,捷荆天策9号,浙江捷荆,1.0920,2024-06-21,期权策略,场内期权,金融卖波,outside_exact_name,Y,SVG804,捷荆天策9号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
980,博芮东方期权策略1号,厦门博芮东方投资,1.6170,2025-12-26,期权策略,场内期权,商品波动率,outside_exact_name,Y,SJW705,博芮东方期权策略1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1026,泓冲宏观对冲1号,深圳泓冲投资,1.0482,2024-09-30,期货策略,主观期货,交易型,outside_exact_name,Y,SZH453,泓冲宏观对冲1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1029,国承资产-神农二号,北京国承资管,1.0720,2024-07-22,期货策略,主观期货,农产,outside_exact_name,Y,SZF242,国承资产-神农二号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1032,佳利达CTA草长莺飞,广州佳利达,0.7940,2024-06-28,期货策略,主观期货,农产,outside_exact_name,Y,SXJ765,佳利达CTA草长莺飞私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1042,蜂鸟长嘉祥1号,武汉蜂鸟,1.0723,2024-07-19,期货策略,量化期货,时序,outside_exact_name,Y,SVK938,蜂鸟长嘉祥1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1043,易者1号,杭州易者,1.8537,2024-07-19,期货策略,主观期货,"农产,交易型",outside_exact_name,Y,SVE673,易者1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1045,新禾富驰通汇享1号,深圳前海新禾富基金,1.0973,2025-09-12,期货策略,主观期货,农产,outside_exact_name,Y,SVA573,新禾富驰通汇享1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1047,涌涵长阳1号,上海涌涵,1.2920,2024-07-19,期货策略,主观期货,农产,outside_exact_name,Y,STF418,涌涵长阳1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1060,泽鸣商品资演,上海泽鸣资管,1.1910,2024-09-13,期货策略,主观期货,农产,outside_exact_name,Y,SSN391,泽鸣商品资演私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1070,昊业倍赢一号,深圳昊业资管,1.5953,2024-07-19,期货策略,主观期货,交易型,outside_exact_name,Y,SQH650,昊业倍赢一号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1073,燧石星云15号,武汉燧石投资,-,-,期货策略,量化期货,时序,db_exact_name,N,SQH719,燧石星云15号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1081,富鑫成长CTA1号,深圳前海富鑫资本投资,1.3651,2025-01-17,期货策略,量化期货,中高频,outside_exact_name,Y,SNS615,富鑫成长CTA1号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1089,凡相1号宏观对冲,杭州凡相,0.8110,2024-07-19,期货策略,主观期货,交易型,outside_exact_name,Y,SLU667,凡相1号宏观对冲私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1092,鸣石春天七号A,上海鸣石,-,-,期货策略,量化期货,"时序,中高频",db_exact_name,N,SLQ197,鸣石春天七号A私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1102,文谛量化套利六号,上海文谛资管,1.7200,2024-07-26,期货策略,量化期货,截面,outside_exact_name,Y,SJJ977,文谛量化套利六号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1113,溯数量化未来,上海溯数投资,1.4595,2025-06-20,期货策略,量化期货,"截面,基本面",outside_exact_name,Y,SGV605,溯数量化未来私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1115,橙色起航七号,北京橙色印象资管,1.4883,2024-07-19,期货策略,量化期货,"混合,基本面",outside_exact_name,Y,SGQ339,橙色起航七号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
1121,昊仁套利对冲三号,上海昊仁投资,1.7080,2024-07-19,期货策略,主观期货,农产,outside_exact_name,Y,SGE529,昊仁套利对冲三号私募证券投资基金,Y,N,,,0,0,N,not_in_universe,,,1,已匹配备案号但库中无净值
