日期,单位净值,累计净值,复权净值,涨跌幅,上证指数,沪深300
2026-01-05,0.9985,0.9984,0.9984,--,3257.0577,3871.8292
2026-01-06,0.9931,0.9928,0.9928,-0.56%,3236.3014,3826.0261
2026-01-07,0.9941,0.9938,0.9938,+0.10%,3259.0909,3840.2306
2026-01-08,0.9972,0.9971,0.9971,+0.33%,3281.6345,3857.5571
2026-01-09,0.9863,0.9857,0.9857,-1.14%,3231.1973,3789.787
2026-01-12,0.9833,0.9826,0.9826,-0.31%,3190.0255,3753.7811
2026-01-13,0.9837,0.983,0.983,+0.04%,3192.5548,3763.1013
2026-01-14,0.979,0.9782,0.9782,-0.49%,3183.7412,3756.6055
2026-01-15,0.9768,0.9758,0.9758,-0.24%,3185.634,3745.442
2026-01-16,0.9747,0.9737,0.9737,-0.22%,3161.5319,3701.0778
2026-01-19,0.9808,0.98,0.98,+0.65%,3187.2378,3729.3896
2026-01-20,0.9895,0.9891,0.9891,+0.93%,3214.0522,3750.4752
2026-01-21,0.998,0.9979,0.9979,+0.89%,3217.5663,3757.34
2026-01-22,1.004,1.0042,1.0042,+0.63%,3249.2369,3799.118
2026-01-23,1.0037,1.0038,1.0038,-0.04%,3262.3978,3815.9712
2026-01-26,0.995,0.9948,0.9948,-0.90%,3241.1783,3796.35
2026-01-27,0.9976,0.9975,0.9975,+0.28%,3246.7638,3810.8576
2026-01-28,0.9921,0.9918,0.9918,-0.57%,3225.1543,3786.2027
2026-01-29,0.9949,0.9947,0.9947,+0.29%,3247.6843,3808.8137
2026-01-30,0.9935,0.9933,0.9933,-0.14%,3260.8558,3806.7873
2026-02-02,0.9929,0.9926,0.9926,-0.07%,3267.2257,3803.6763
2026-02-03,0.9935,0.9933,0.9933,+0.07%,3253.0847,3790.2208
2026-02-04,0.9992,0.9992,0.9992,+0.60%,3280.2932,3826.208
2026-02-05,0.9987,0.9986,0.9986,-0.06%,3269.8643,3826.7693
2026-02-06,0.9947,0.9944,0.9944,-0.42%,3267.4829,3812.0609
2026-02-09,0.9893,0.9888,0.9888,-0.57%,3260.9968,3801.049
2026-02-10,0.9905,0.9901,0.9901,+0.13%,3278.6541,3825.7235
2026-02-11,0.9923,0.9919,0.9919,+0.18%,3277.5105,3821.535
2026-02-12,0.9991,0.999,0.999,+0.71%,3295.1031,3824.6985
2026-02-13,1.0016,1.0017,1.0017,+0.26%,3310.1421,3826.8727
2026-02-16,1.0132,1.0137,1.0137,+1.21%,3359.4868,3875.8936
2026-02-17,1.0107,1.0111,1.0111,-0.26%,3346.4484,3858.1803
2026-02-18,1.0059,1.0061,1.0061,-0.49%,3335.5926,3849.2978
2026-02-19,1.0005,1.0005,1.0005,-0.56%,3315.4422,3822.1011
2026-02-20,1.0015,1.0015,1.0015,+0.10%,3330.4578,3844.2386
