who,ts,success,fail_reason,user_agent,ip
__login_history_selftest__,2026-08-23 19:22:14,f,incomplete,curl/8.21.0,203.0.113.10
chenpeifeng,2026-08-23 21:38:31,t,,"Mozilla/5.0 (Linux; Android 12; HarmonyOS; ALT-AL10; HMSCore 6.16.2.342) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.79 HuaweiBrowser/17.0.7.301 Mobile Safari/537.36",116.234.199.216
cshen,2026-08-24 09:09:28,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",116.237.193.158
cshen,2026-08-24 09:12:45,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",::1
cshen,2026-08-24 10:08:17,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",116.237.193.158
sunjie,2026-08-24 13:16:16,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 QuarkPC/7.1.2.956",116.237.193.158
cshen,2026-08-24 13:57:59,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",116.237.193.158
cshen,2026-08-24 18:25:05,t,,"Mozilla/5.0 (Linux; Android 12; HarmonyOS; ALT-AL10; HMSCore 6.16.2.342) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.6834.79 HuaweiBrowser/17.0.7.301 Mobile Safari/537.36",39.144.44.83
cshen,2026-08-24 19:25:10,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",116.234.199.216
cshen,2026-08-24 21:33:20,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",::1
cshen,2026-08-25 09:08:33,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",116.237.193.158
cshen,2026-08-25 09:49:36,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",::1
cshen,2026-08-25 09:49:45,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",116.237.193.158
cshen,2026-08-25 09:58:38,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",116.237.193.158
cshen,2026-08-25 10:22:31,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",116.237.193.158
liuyamin,2026-08-25 10:23:16,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0",124.79.221.152
sunjie,2026-08-25 10:39:38,t,,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36 QuarkPC/7.1.2.956",116.237.193.158
