备案号,产品名称,管理人,建议一级,建议二级,建议三级,信心,建议依据,现有平台策略,现有协会策略,同系列已分类产品,是否接受,备注
SQA597,宝沣投资量化1号A类,嘉兴宝沣投资管理有限公司,期货策略,量化期货,"中高频,股指",高,已有平台策略可映射到运维树,"期货策略 / 量化期货 / 中高频,股指",,,,
SQD463,笃熙禀泰多资产轮动策略1号,上海笃熙禀泰私募基金管理有限公司,多资产策略,ETF轮动,,高,产品名含轮动,,,,,
SQQ300,笃熙禀泰多资产轮动策略3号,上海笃熙禀泰私募基金管理有限公司,多资产策略,ETF轮动,,高,产品名含轮动,,,,,
SADE15,汉鸿景明1号,上海汉鸿私募基金管理有限公司,套利策略,ETF套利,,高,尽调表格代表产品+知识库路演：主策略ETF套利,,,,,尽调表格初筛写量化可转债、ETF套利，结论明确主策略为ETF套利
SBTX45,衡颐承和FOF1号,上海衡颐资产管理有限公司,多资产策略,FOF,,高,产品名含FOF,,,,,
ANU03B,华年500增强1号B类,上海华年,股票多头,指数增强,500指增,高,产品名含500指增,,,,,
JRHG02,交睿宏观配置1号B类,上海交睿,多资产策略,宏观策略,,高,同系列/份额已有团队策略；产品名含宏观,,,"交睿宏观配置5号=多资产策略/宏观策略；交睿宏观配置5号私募证券投资基金A类份额=多资产策略/宏观策略/配置型,量化；交睿宏观配置1号私募证券投资基金A类份额=多资产策略/宏观策略/配置型,量化",,
SAZH88,金时信星际风云一号,武汉金时信私募基金管理有限公司,股票对冲,打板,盘中板,高,同系列/份额已有团队策略,,,金时信星际风云一号B类份额=股票对冲/打板/盘中板,,
SCU622,金舆稳健增长1号FOF,上海金舆资产管理有限公司,多资产策略,FOF,,高,产品名含FOF,,,,,
SB933B,九鞅禾瑞十号私募证券投资基金B类,上海九鞅投资管理合伙企业（有限合伙）,债券策略,信用债,,高,同系列/份额已有团队策略,,,九鞅禾瑞十号C类=债券策略/信用债,,
L1596B,九鞅禾禧五号私募证券投资基金B类,上海九鞅投资管理合伙企业（有限合伙）,债券策略,信用债,,高,同系列/份额已有团队策略,,,九鞅禾禧五号C类=债券策略/信用债,,
BCU82B,澜熙星瀚1号私募证券投资基金B类,上海澜熙资产管理有限公司,股票对冲,打板,盘中板,高,同系列/份额已有团队策略,,,澜熙星瀚1号A类=股票对冲/打板/盘中板,,
SCQ804,明汯中性6号1期,上海明汯投资管理有限公司,股票对冲,股票市场中性,,高,产品名含中性,,,,,
ATL22A,木莲安澜1号A类,深圳木莲,套利策略,期货套利,"跨期套利,商品套利",高,同系列/份额已有团队策略；知识库内部尽调资料/2026.2.5-木莲主观CTA,,,"木莲安澜1号=套利策略/期货套利/跨期套利,商品套利",,
SXP646,前海安银6号,深圳市大树私募证券基金管理有限公司,股票对冲,打板,"强势股,主观",高,知识库大树短线强势股文件夹+强势股尽调纪要,,,,,尽调纪要写投资策略=强势股（手工），含涨停/连板/炸板
SBPC39,前海安溋8号,深圳市大树私募证券基金管理有限公司,股票对冲,打板,"强势股,主观",高,知识库大树短线强势股文件夹+绩效报告/净值,,,,,与安银6号同文件夹；绩效报告基准中证500
SBDF95,锐耐稳健对冲11号,上海锐耐私募基金管理有限公司,股票对冲,股票T0,底仓T0,高,尽调表格代表产品已标注策略,,,,,
SAMS33,思瑞宽流宏观量化,海南思瑞私募基金管理有限公司,多资产策略,宏观策略,量化,高,产品名含宏观,,,,,
,稳博鹏瑞套利2号,上海稳博投资管理有限公司,套利策略,期货套利,商品套利,高,同系列/份额已有团队策略；产品名含套利,,,稳博鹏瑞套利2号私募证券投资基金B类=套利策略/期货套利/商品套利,,
SJ392B,熙典基金百富1号B类,厦门熙典私募基金管理有限公司,期权策略,场内期权,金融卖波,高,知识库熙典期权策略尽调纪要明确集合产品为百富1号,,,,,纪要写做空中证1000期权隐含波动率；团队库同系列曾标商品波动率，请人工确认三级
SJC726,元苔边际混合策略一号A类,上海元苔投资管理有限公司,股票多头,主观多头,交易型,高,尽调表格代表产品已标注策略,,,,,初筛=强势股；结论为主观+量化强势股
SCV735,昭明润和500指数增强,海南昭明私募基金管理有限公司,股票多头,指数增强,,高,产品名含指增/指数增强,,,,,
SBLF14,众量资产聚宝10号,上海众量私募基金管理有限公司,股票对冲,股票市场中性,底仓T0,高,同系列/份额已有团队策略,,,众量资产聚宝19号B类=股票对冲/股票市场中性/底仓T0；众量资产聚宝4号=股票对冲/股票市场中性/300中性；众量资产聚宝5号=股票对冲/股票T0/底仓T0；众量资产聚宝10号C类=股票对冲/股票市场中性/底仓T0；众量资产聚宝12号B类=股票对冲/股票市场中性/300中性,,
SAEC67,众量资产聚宝12号私募证券投资基金,上海众量私募基金管理有限公司,股票对冲,股票市场中性,底仓T0,高,同系列/份额已有团队策略,,,众量资产聚宝19号B类=股票对冲/股票市场中性/底仓T0；众量资产聚宝4号=股票对冲/股票市场中性/300中性；众量资产聚宝5号=股票对冲/股票T0/底仓T0；众量资产聚宝10号C类=股票对冲/股票市场中性/底仓T0；众量资产聚宝12号B类=股票对冲/股票市场中性/300中性,,
AVV28A,众量资产聚宝4号A类,上海众量私募基金管理有限公司,股票对冲,股票市场中性,底仓T0,高,同系列/份额已有团队策略,,,众量资产聚宝19号B类=股票对冲/股票市场中性/底仓T0；众量资产聚宝4号=股票对冲/股票市场中性/300中性；众量资产聚宝5号=股票对冲/股票T0/底仓T0；众量资产聚宝10号C类=股票对冲/股票市场中性/底仓T0；众量资产聚宝12号B类=股票对冲/股票市场中性/300中性,,
SBTZ74,大椿全球精选1号,海南大椿私募基金管理合伙企业（有限合伙）,股票多头,主观多头,,中,知识库外部尽调资料归在股票主观,,,,,知识库仅有管理人层面材料（大椿资本介绍/鲁班一号），非本产品专属
SAMR74,大椿全球精选2号,海南大椿私募基金管理合伙企业（有限合伙）,股票多头,主观多头,,中,知识库外部尽调资料归在股票主观,,,,,知识库仅有管理人层面材料（大椿资本介绍/鲁班一号），非本产品专属
BVS97A,德贝瑞悦龄稳健2期A类,德贝瑞私募基金管理（北京）有限公司,期权策略,场内期权,,中,尽调表格同管理人已标期权策略/场内期权,,,,,尽调表格德贝瑞行未写代表产品；该公司其他产品策略不一，请人工确认
VR608A,观理CTAA类,广东观理,期货策略,,,中,产品名含CTA,,,,,
SBCJ69,国泰君安期货CTA因子组合2号集合资产管理计划,国泰君安期货有限公司,期货策略,,,中,产品名含CTA,,,,,
SBMM07,国泰君安期货CTA因子组合3号集合资产管理计划,国泰君安期货有限公司,期货策略,,,中,产品名含CTA,,,,,
SAWM70,国泰君安期货CTA因子组合集合资产管理计划,国泰君安期货有限公司,期货策略,,,中,产品名含CTA,,,,,
SY2965,聚鸣积极成长2号,上海聚鸣投资管理有限公司,股票多头,主观多头,,中,知识库尽调笔记-主观多头/聚鸣,,,,,尽调笔记为管理人层面，未点名本产品
SACB73,明阅金银1号,上海明阅私募基金管理有限公司,套利策略,期货套利,"高频套利,跨期套利",中,尽调表格公司策略+知识库高频套利路演,,,,,尽调表格标混合套利/高频套利；知识库材料为商品期货高频跨期套利，未点名金银1号
SJA874,青蚨万德3号,厦门青蚨投资管理有限公司,股票多头,主观多头,交易型,中,尽调表格同管理人信实2号+知识库主观多头青蚨基金,,,,,尽调表格代表产品是信实2号，非本产品
SBBX56,青蚨万华1号,厦门青蚨投资管理有限公司,股票多头,主观多头,交易型,中,尽调表格同管理人信实2号+知识库主观多头青蚨基金,,,,,尽调表格代表产品是信实2号，非本产品
SBUV99,青蚨万亿2号,厦门青蚨投资管理有限公司,股票多头,主观多头,交易型,中,尽调表格同管理人信实2号+知识库主观多头青蚨基金,,,,,尽调表格代表产品是信实2号，非本产品
WEIZONG,申银万国期货8005166176,申银万国期货有限公司,期货策略,,,中,产品名含期货,,,,,
SAEB07,藤创1号私募证券投资基金,上海藤创私募基金管理有限公司,期货策略,,,中,知识库外部尽调资料CTA策略描述含藤创介绍,,,,,材料为管理人CTA介绍，未写清主观/量化
SXR053,图灵债券策略1号私募证券投资基金,图灵私募基金管理（海南）有限公司,债券策略,,,中,产品名含债券/固收,,,,,
BEW45A,因诺专享CTA2号A类,因诺（上海）资产管理有限公司,期货策略,,,中,产品名含CTA,,,,,
SBVK42,鋆晟狮成套利1号,上海鋆晟投资管理有限公司,套利策略,,,中,产品名含套利,,,,,
BDF95A,锐耐稳健对冲11号A类,上海锐耐私募基金管理有限公司,股票对冲,,,低,产品名含对冲,,,,,
SXM695,淳德行稳致远私募证券投资基金,上海淳德行知私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SAGX88,淳阳飞跃6号,上海淳阳私募基金管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
ST9331,格上安盈2号私募,北京格上理财顾问有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
SBPU97,衡颐海泰1号,上海衡颐资产管理有限公司,,,,,,,,,,名称/协会/同系列/尽调表格/尽调笔记/知识库均无法可靠推断
